employee_skill_id,employee_id,skill_id,skill_name,proficiency_level,years_experience
ES00158,EMP00044,SKILL002,React,Beginner,11
ES00159,EMP00044,SKILL019,Project Management,Beginner,2
ES00160,EMP00044,SKILL007,Git,Beginner,7
ES00161,EMP00044,SKILL020,Git,Advanced,15
ES00162,EMP00045,SKILL016,Project Management,Advanced,10
ES00163,EMP00045,SKILL014,AWS,Advanced,11
ES00164,EMP00045,SKILL029,AWS,Advanced,14
ES00165,EMP00045,SKILL008,AWS,Expert,7
ES00166,EMP00045,SKILL020,Python,Advanced,14
ES00167,EMP00046,SKILL026,Java,Beginner,8
ES00168,EMP00046,SKILL028,Communication,Expert,12
ES00169,EMP00046,SKILL027,Machine Learning,Intermediate,1
ES00170,EMP00046,SKILL020,Java,Advanced,12
ES00171,EMP00047,SKILL012,Kubernetes,Expert,9
ES00172,EMP00047,SKILL014,Leadership,Intermediate,1
ES00173,EMP00047,SKILL021,Data Analysis,Advanced,1
ES00174,EMP00048,SKILL028,Python,Advanced,11
ES00175,EMP00048,SKILL015,SQL,Expert,7
ES00176,EMP00048,SKILL024,Agile,Beginner,6
ES00177,EMP00048,SKILL014,Machine Learning,Expert,11
ES00178,EMP00049,SKILL024,Docker,Advanced,10
ES00179,EMP00049,SKILL007,Communication,Intermediate,14
ES00180,EMP00050,SKILL029,Agile,Beginner,3
ES00181,EMP00050,SKILL016,Project Management,Beginner,5
ES00182,EMP00050,SKILL027,Leadership,Expert,3
ES00183,EMP00050,SKILL029,Kubernetes,Beginner,8
ES00184,EMP00050,SKILL022,Git,Intermediate,4
ES00185,EMP00050,SKILL007,JavaScript,Beginner,2
ES00186,EMP00051,SKILL023,Python,Intermediate,15
ES00187,EMP00051,SKILL030,AWS,Expert,13
ES00188,EMP00051,SKILL009,SQL,Advanced,11
ES00189,EMP00051,SKILL016,Machine Learning,Beginner,11
ES00190,EMP00051,SKILL005,Machine Learning,Expert,2
ES00191,EMP00052,SKILL028,SQL,Beginner,11
ES00192,EMP00052,SKILL011,Docker,Expert,11
ES00193,EMP00052,SKILL021,Project Management,Expert,13
ES00194,EMP00052,SKILL008,SQL,Advanced,2
ES00195,EMP00053,SKILL003,Java,Beginner,6
ES00196,EMP00053,SKILL024,Agile,Intermediate,12
ES00197,EMP00053,SKILL004,Agile,Advanced,3
ES00198,EMP00053,SKILL028,AWS,Expert,10
ES00199,EMP00054,SKILL010,Python,Intermediate,14
ES00200,EMP00054,SKILL013,Docker,Advanced,13
ES00201,EMP00055,SKILL026,Leadership,Intermediate,9
ES00202,EMP00055,SKILL022,Agile,Intermediate,2
ES00203,EMP00055,SKILL013,Python,Expert,6
ES00204,EMP00055,SKILL005,Data Analysis,Advanced,14
ES00205,EMP00056,SKILL016,Leadership,Expert,3
ES00206,EMP00056,SKILL020,React,Intermediate,12
ES00207,EMP00056,SKILL022,Data Analysis,Beginner,10
ES00208,EMP00057,SKILL010,Git,Beginner,5
ES00209,EMP00057,SKILL028,Communication,Expert,11
ES00210,EMP00057,SKILL027,SQL,Expert,5
ES00211,EMP00057,SKILL023,Docker,Beginner,13
ES00212,EMP00058,SKILL005,Data Analysis,Intermediate,14
ES00213,EMP00058,SKILL024,Machine Learning,Intermediate,12
ES00214,EMP00058,SKILL024,Python,Intermediate,14
ES00215,EMP00058,SKILL016,Communication,Expert,5
ES00216,EMP00059,SKILL001,Git,Expert,6
ES00217,EMP00059,SKILL014,Leadership,Expert,6
ES00218,EMP00059,SKILL025,Docker,Expert,2
ES00219,EMP00060,SKILL024,React,Advanced,12
ES00220,EMP00060,SKILL030,SQL,Expert,2
ES00221,EMP00060,SKILL005,AWS,Beginner,14
ES00222,EMP00060,SKILL030,Communication,Advanced,8
ES00223,EMP00060,SKILL021,JavaScript,Intermediate,8
ES00224,EMP00060,SKILL023,Kubernetes,Advanced,15
ES00225,EMP00061,SKILL007,SQL,Intermediate,12
ES00226,EMP00061,SKILL021,Python,Advanced,12
ES00227,EMP00061,SKILL028,Agile,Beginner,11
ES00228,EMP00062,SKILL013,Docker,Intermediate,15
ES00229,EMP00062,SKILL002,Java,Advanced,8
ES00230,EMP00062,SKILL006,Python,Beginner,9
ES00231,EMP00063,SKILL019,Docker,Intermediate,11
ES00232,EMP00063,SKILL024,Docker,Intermediate,1
ES00233,EMP00063,SKILL004,SQL,Expert,8
ES00234,EMP00063,SKILL010,Communication,Intermediate,11
ES00235,EMP00064,SKILL025,Communication,Beginner,13
ES00236,EMP00064,SKILL015,Data Analysis,Expert,5
ES00237,EMP00064,SKILL021,Leadership,Expert,6
ES00238,EMP00064,SKILL001,Java,Beginner,2
ES00239,EMP00064,SKILL004,Kubernetes,Intermediate,1
ES00240,EMP00065,SKILL019,Agile,Expert,5
ES00241,EMP00065,SKILL023,Communication,Beginner,13
ES00242,EMP00065,SKILL019,JavaScript,Expert,8
ES00243,EMP00065,SKILL021,Communication,Expert,5
ES00244,EMP00065,SKILL019,JavaScript,Beginner,6
ES00245,EMP00065,SKILL003,Communication,Intermediate,7
ES00246,EMP00066,SKILL013,Git,Expert,2
ES00247,EMP00066,SKILL017,Data Analysis,Beginner,13
ES00248,EMP00067,SKILL022,Machine Learning,Beginner,3
ES00249,EMP00067,SKILL028,Agile,Intermediate,1
ES00250,EMP00067,SKILL018,Kubernetes,Advanced,2
ES00251,EMP00068,SKILL005,Agile,Intermediate,11
ES00252,EMP00068,SKILL006,Java,Advanced,14
ES00253,EMP00069,SKILL003,Java,Advanced,6
ES00254,EMP00069,SKILL018,JavaScript,Expert,11
ES00255,EMP00070,SKILL008,React,Beginner,9
ES00256,EMP00070,SKILL029,Project Management,Advanced,11
ES00257,EMP00071,SKILL015,JavaScript,Expert,12
ES00258,EMP00071,SKILL011,Git,Advanced,10
ES00259,EMP00071,SKILL018,Git,Intermediate,12
ES00260,EMP00071,SKILL004,Leadership,Beginner,4
ES00261,EMP00071,SKILL002,SQL,Intermediate,5
ES00262,EMP00071,SKILL028,Data Analysis,Intermediate,3
ES00263,EMP00072,SKILL018,SQL,Advanced,5
ES00264,EMP00072,SKILL005,Communication,Expert,2
ES00265,EMP00072,SKILL018,React,Advanced,7
ES00266,EMP00072,SKILL021,Machine Learning,Intermediate,7
ES00267,EMP00072,SKILL015,Java,Advanced,11
ES00268,EMP00072,SKILL014,Communication,Intermediate,9
ES00269,EMP00073,SKILL003,Leadership,Advanced,11
ES00270,EMP00073,SKILL023,Leadership,Intermediate,12
ES00271,EMP00073,SKILL012,Agile,Intermediate,7
ES00272,EMP00074,SKILL011,Project Management,Expert,7
ES00273,EMP00074,SKILL001,Agile,Intermediate,2
ES00274,EMP00074,SKILL009,Java,Beginner,11
ES00275,EMP00075,SKILL014,Java,Advanced,11
ES00276,EMP00075,SKILL003,AWS,Advanced,13
ES00277,EMP00075,SKILL009,JavaScript,Intermediate,5
ES00278,EMP00075,SKILL001,Java,Expert,4
ES00279,EMP00075,SKILL013,Java,Beginner,3
ES00280,EMP00075,SKILL017,Communication,Advanced,10
ES00281,EMP00076,SKILL004,Git,Advanced,12
ES00282,EMP00076,SKILL019,Data Analysis,Advanced,9
ES00283,EMP00076,SKILL009,Agile,Beginner,15
ES00284,EMP00076,SKILL002,JavaScript,Advanced,13
ES00285,EMP00076,SKILL013,JavaScript,Advanced,13
ES00286,EMP00077,SKILL018,Agile,Expert,8
ES00287,EMP00077,SKILL019,JavaScript,Advanced,1
ES00288,EMP00077,SKILL022,Git,Intermediate,11
ES00289,EMP00077,SKILL005,JavaScript,Expert,10
ES00290,EMP00077,SKILL024,React,Beginner,15
ES00291,EMP00077,SKILL024,Leadership,Advanced,12
ES00292,EMP00078,SKILL022,Agile,Expert,12
ES00293,EMP00078,SKILL015,JavaScript,Expert,6
ES00294,EMP00078,SKILL026,Kubernetes,Advanced,5
ES00295,EMP00079,SKILL017,Communication,Intermediate,5
ES00296,EMP00079,SKILL021,Data Analysis,Beginner,5
ES00297,EMP00079,SKILL014,Project Management,Advanced,14
ES00298,EMP00079,SKILL003,Leadership,Beginner,2
ES00299,EMP00079,SKILL024,SQL,Beginner,3
ES00300,EMP00080,SKILL002,Java,Advanced,9
ES00301,EMP00080,SKILL030,Kubernetes,Beginner,7
ES00302,EMP00080,SKILL022,Git,Intermediate,8
ES00303,EMP00080,SKILL016,Git,Beginner,7
ES00304,EMP00080,SKILL001,Agile,Intermediate,15
ES00305,EMP00080,SKILL027,Communication,Beginner,12
ES00306,EMP00081,SKILL023,Git,Advanced,4
ES00307,EMP00081,SKILL024,Leadership,Beginner,10
ES00308,EMP00081,SKILL015,JavaScript,Intermediate,3
ES00309,EMP00081,SKILL003,AWS,Intermediate,9
ES00310,EMP00081,SKILL012,Python,Expert,8
ES00311,EMP00082,SKILL006,AWS,Beginner,6
ES00312,EMP00082,SKILL030,Leadership,Intermediate,14
ES00313,EMP00082,SKILL018,Data Analysis,Beginner,5
ES00314,EMP00082,SKILL010,Kubernetes,Advanced,5
ES00315,EMP00082,SKILL007,Python,Expert,4
ES00316,EMP00083,SKILL030,Machine Learning,Beginner,15
ES00317,EMP00083,SKILL015,Machine Learning,Expert,1
ES00318,EMP00083,SKILL012,Python,Expert,6
ES00319,EMP00083,SKILL010,AWS,Beginner,1
ES00320,EMP00084,SKILL029,Communication,Intermediate,7
ES00321,EMP00084,SKILL012,Python,Beginner,7
ES00322,EMP00084,SKILL016,SQL,Beginner,9
ES00323,EMP00084,SKILL017,Machine Learning,Intermediate,7
ES00324,EMP00085,SKILL030,Kubernetes,Beginner,3
ES00325,EMP00085,SKILL025,Leadership,Advanced,4
ES00326,EMP00086,SKILL013,AWS,Advanced,6
ES00327,EMP00086,SKILL014,Machine Learning,Intermediate,9
ES00328,EMP00086,SKILL026,React,Beginner,8
ES00329,EMP00086,SKILL022,Data Analysis,Expert,3
ES00330,EMP00086,SKILL005,AWS,Expert,1
ES00331,EMP00087,SKILL029,Data Analysis,Intermediate,2
ES00332,EMP00087,SKILL007,React,Beginner,3
ES00333,EMP00087,SKILL013,Docker,Advanced,15
ES00334,EMP00087,SKILL002,JavaScript,Intermediate,8
ES00335,EMP00088,SKILL004,Docker,Expert,9
ES00336,EMP00088,SKILL016,Project Management,Intermediate,6
ES00337,EMP00088,SKILL025,Project Management,Expert,9
ES00338,EMP00088,SKILL024,Machine Learning,Expert,3
ES00339,EMP00089,SKILL004,Project Management,Beginner,3
ES00340,EMP00089,SKILL005,AWS,Beginner,13
ES00341,EMP00090,SKILL002,Leadership,Advanced,7
ES00342,EMP00090,SKILL020,Communication,Beginner,7
ES00343,EMP00090,SKILL016,React,Advanced,8
ES00344,EMP00091,SKILL025,Docker,Intermediate,10
ES00345,EMP00091,SKILL005,Communication,Intermediate,4
ES00346,EMP00092,SKILL025,Java,Advanced,12
ES00347,EMP00092,SKILL008,Leadership,Expert,4
ES00348,EMP00092,SKILL016,Communication,Beginner,12
ES00349,EMP00092,SKILL024,Git,Intermediate,4
ES00350,EMP00093,SKILL021,Leadership,Intermediate,4
ES00351,EMP00093,SKILL004,JavaScript,Expert,1
ES00352,EMP00093,SKILL009,SQL,Intermediate,7
ES00353,EMP00093,SKILL001,Agile,Intermediate,2
ES00354,EMP00093,SKILL028,Python,Expert,7
ES00355,EMP00093,SKILL017,React,Intermediate,4
ES00356,EMP00094,SKILL014,Kubernetes,Beginner,9
ES00357,EMP00094,SKILL014,Leadership,Beginner,5
ES00358,EMP00094,SKILL004,React,Advanced,5
ES00359,EMP00094,SKILL012,Communication,Expert,4
ES00360,EMP00095,SKILL029,Python,Intermediate,1
ES00361,EMP00095,SKILL001,Python,Advanced,4
ES00362,EMP00095,SKILL010,Kubernetes,Advanced,15
ES00363,EMP00095,SKILL020,Java,Expert,3
ES00364,EMP00096,SKILL016,AWS,Advanced,5
ES00365,EMP00096,SKILL004,Java,Beginner,11
ES00366,EMP00096,SKILL018,Project Management,Intermediate,6
ES00367,EMP00096,SKILL012,Communication,Advanced,12
ES00368,EMP00097,SKILL017,Agile,Advanced,4
ES00369,EMP00097,SKILL021,React,Intermediate,10
ES00370,EMP00097,SKILL013,Java,Beginner,3
ES00371,EMP00097,SKILL021,Communication,Beginner,1
ES00372,EMP00097,SKILL019,Machine Learning,Intermediate,4
ES00373,EMP00097,SKILL023,Kubernetes,Beginner,2
ES00374,EMP00098,SKILL020,AWS,Advanced,12
ES00375,EMP00098,SKILL016,Project Management,Intermediate,9
ES00376,EMP00098,SKILL024,JavaScript,Beginner,3
ES00377,EMP00098,SKILL007,Docker,Advanced,15
ES00378,EMP00098,SKILL029,Project Management,Advanced,15
ES00379,EMP00098,SKILL012,Kubernetes,Beginner,15
ES00380,EMP00099,SKILL003,Kubernetes,Expert,9
ES00381,EMP00099,SKILL030,Git,Beginner,3
ES00382,EMP00099,SKILL020,React,Intermediate,5
ES00383,EMP00099,SKILL002,Agile,Beginner,13
ES00384,EMP00099,SKILL023,SQL,Expert,8
ES00385,EMP00100,SKILL028,Git,Beginner,3
ES00386,EMP00100,SKILL015,Project Management,Expert,9
ES00387,EMP00100,SKILL025,Docker,Expert,10
ES00388,EMP00100,SKILL009,SQL,Intermediate,1
ES00389,EMP00100,SKILL006,Agile,Intermediate,10
ES00390,EMP00100,SKILL023,Python,Expert,9
ES00391,EMP00101,SKILL009,React,Intermediate,5
ES00392,EMP00101,SKILL023,React,Beginner,3
ES00393,EMP00101,SKILL008,Python,Intermediate,5
ES00394,EMP00101,SKILL002,Leadership,Intermediate,15
ES00395,EMP00101,SKILL009,Machine Learning,Intermediate,5
ES00396,EMP00101,SKILL028,Project Management,Beginner,11
ES00397,EMP00102,SKILL027,SQL,Beginner,1
ES00398,EMP00102,SKILL021,AWS,Advanced,6
ES00399,EMP00102,SKILL003,Communication,Advanced,12
ES00400,EMP00103,SKILL014,Machine Learning,Advanced,6
ES00401,EMP00103,SKILL002,Leadership,Beginner,14
ES00402,EMP00103,SKILL012,SQL,Advanced,3
ES00403,EMP00104,SKILL001,Git,Beginner,12
ES00404,EMP00104,SKILL024,Communication,Expert,11
ES00405,EMP00104,SKILL009,Data Analysis,Intermediate,14
ES00406,EMP00104,SKILL015,SQL,Advanced,5
ES00407,EMP00105,SKILL019,Leadership,Expert,3
ES00408,EMP00105,SKILL015,SQL,Expert,6
ES00409,EMP00105,SKILL005,Machine Learning,Expert,2
ES00410,EMP00106,SKILL006,Kubernetes,Intermediate,14
ES00411,EMP00106,SKILL028,JavaScript,Intermediate,10
ES00412,EMP00106,SKILL016,Communication,Intermediate,11
ES00413,EMP00106,SKILL010,Python,Advanced,3
ES00414,EMP00106,SKILL029,JavaScript,Expert,11
ES00415,EMP00107,SKILL007,Java,Intermediate,2
ES00416,EMP00107,SKILL014,SQL,Expert,15
ES00417,EMP00107,SKILL021,Docker,Beginner,12
ES00418,EMP00107,SKILL017,JavaScript,Beginner,10
ES00419,EMP00107,SKILL004,Docker,Expert,1
ES00420,EMP00107,SKILL004,Data Analysis,Beginner,13
ES00421,EMP00108,SKILL005,SQL,Beginner,5
ES00422,EMP00108,SKILL005,Leadership,Beginner,13
ES00423,EMP00109,SKILL026,Java,Advanced,14
ES00424,EMP00109,SKILL023,Java,Intermediate,3
ES00425,EMP00110,SKILL025,Agile,Expert,14
ES00426,EMP00110,SKILL006,React,Advanced,8
ES00427,EMP00110,SKILL005,SQL,Beginner,9
ES00428,EMP00110,SKILL023,React,Beginner,1
ES00429,EMP00110,SKILL027,Python,Beginner,9
ES00430,EMP00111,SKILL004,Git,Expert,3
ES00431,EMP00111,SKILL001,Machine Learning,Intermediate,1
ES00432,EMP00111,SKILL008,Docker,Expert,3
ES00433,EMP00111,SKILL012,Leadership,Advanced,4
ES00434,EMP00112,SKILL022,Machine Learning,Beginner,8
ES00435,EMP00112,SKILL006,Java,Intermediate,2
ES00436,EMP00112,SKILL010,AWS,Beginner,10
ES00437,EMP00112,SKILL011,Java,Advanced,15
ES00438,EMP00112,SKILL030,Machine Learning,Beginner,15
ES00439,EMP00113,SKILL020,JavaScript,Intermediate,7
ES00440,EMP00113,SKILL017,AWS,Intermediate,11
ES00441,EMP00114,SKILL005,Machine Learning,Advanced,10
ES00442,EMP00114,SKILL027,React,Advanced,15
ES00443,EMP00114,SKILL004,React,Expert,11
ES00444,EMP00114,SKILL012,Machine Learning,Advanced,13
ES00445,EMP00114,SKILL030,Communication,Beginner,13
ES00446,EMP00115,SKILL028,Machine Learning,Intermediate,13
ES00447,EMP00115,SKILL021,JavaScript,Advanced,3
ES00448,EMP00116,SKILL015,Communication,Expert,14
ES00449,EMP00116,SKILL003,Java,Expert,12
ES00450,EMP00116,SKILL009,JavaScript,Beginner,6
ES00451,EMP00116,SKILL005,JavaScript,Expert,6
ES00452,EMP00116,SKILL011,Kubernetes,Expert,8
ES00453,EMP00117,SKILL020,Project Management,Advanced,3
ES00454,EMP00117,SKILL026,Leadership,Intermediate,7
ES00455,EMP00117,SKILL014,Git,Expert,9
ES00456,EMP00117,SKILL018,Kubernetes,Intermediate,7
ES00457,EMP00117,SKILL003,Agile,Expert,9
ES00458,EMP00118,SKILL025,Communication,Intermediate,12
ES00459,EMP00118,SKILL003,SQL,Advanced,1
ES00460,EMP00118,SKILL007,Data Analysis,Beginner,6
ES00461,EMP00118,SKILL018,Kubernetes,Intermediate,15
ES00462,EMP00118,SKILL004,Python,Advanced,6
ES00463,EMP00118,SKILL028,Data Analysis,Intermediate,5
ES00464,EMP00119,SKILL005,Data Analysis,Expert,4
ES00465,EMP00119,SKILL007,Data Analysis,Intermediate,1
ES00466,EMP00119,SKILL024,JavaScript,Beginner,12
ES00467,EMP00119,SKILL023,JavaScript,Expert,12
ES00468,EMP00119,SKILL001,Communication,Expert,6
ES00469,EMP00120,SKILL023,Java,Beginner,8
ES00470,EMP00120,SKILL027,Agile,Intermediate,1
ES00471,EMP00121,SKILL012,JavaScript,Beginner,4
ES00472,EMP00121,SKILL003,Python,Expert,3
ES00473,EMP00121,SKILL025,JavaScript,Expert,12
ES00474,EMP00122,SKILL024,Git,Advanced,8
ES00475,EMP00122,SKILL014,Communication,Advanced,8
ES00476,EMP00122,SKILL026,Leadership,Beginner,5
ES00477,EMP00123,SKILL005,Python,Beginner,10
ES00478,EMP00123,SKILL025,JavaScript,Intermediate,1
ES00479,EMP00124,SKILL027,Docker,Expert,9
ES00480,EMP00124,SKILL023,Data Analysis,Advanced,15
ES00481,EMP00124,SKILL019,Git,Advanced,12
ES00482,EMP00124,SKILL008,Docker,Intermediate,5
ES00483,EMP00124,SKILL003,Git,Expert,3
ES00484,EMP00125,SKILL013,Agile,Beginner,4
ES00485,EMP00125,SKILL013,JavaScript,Beginner,14
ES00486,EMP00125,SKILL023,Kubernetes,Expert,6
ES00487,EMP00126,SKILL027,Docker,Intermediate,1
ES00488,EMP00126,SKILL026,AWS,Expert,4
